City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,ola,59.5833,151.2833,-17.53,97,99,2.89,RU,1676223530
264,tecpan,14.7623,-90.9947,16.45,50,48,3.38,GT,1676223530
265,tomatlan,19.9333,-105.25,32.37,25,8,2.68,MX,1676223530
266,merauke,-8.4667,140.3333,25.67,88,93,5.83,ID,1676223531
267,margate,51.3813,1.3862,8.28,81,84,1.34,GB,1676223531
268,springdale,36.1867,-94.1288,13.74,47,0,4.63,US,1676223531
269,chilca,-12.5211,-76.7372,24.96,76,91,3.46,PE,1676223532
270,sabha,27.0377,14.4283,13.39,27,3,3.74,LY,1676223533
271,broken hill,-31.95,141.4333,17.27,40,76,6.88,AU,1676223533
272,tecoanapa,16.5167,-98.75,28.29,62,0,3.56,MX,1676223533
273,cockburn town,21.4612,-71.1419,25.98,65,40,7.72,TC,1676223267
274,longyearbyen,78.2186,15.6401,-4.09,86,75,9.77,SJ,1676223534
275,sibolga,1.7427,98.7792,24.51,88,100,1.54,ID,1676223534
276,pangai,-19.8,-174.35,26.06,89,75,3.6,TO,1676223535
277,uwajima,33.2238,132.56,12.36,93,100,3.47,JP,1676223535
278,chapais,49.7834,-74.8492,-10.12,77,88,2.79,CA,1676223535
279,yining,29.0361,114.5636,8.48,93,100,1.75,CN,1676223536
280,touros,-5.1989,-35.4608,29.94,62,99,6.91,BR,1676223536
281,sorong,-0.8833,131.25,26.89,81,100,3.13,ID,1676223536
282,salina cruz,16.1667,-95.2,25.97,48,1,14.3,MX,1676223406
283,hervey bay,-25.2986,152.8535,25.68,85,1,6.9,AU,1676223537
284,boyarka,50.3191,30.2973,-0.48,78,29,5.17,UA,1676223268
285,vila franca do campo,37.7167,-25.4333,16.23,80,68,4.13,PT,1676223537
286,cam ranh,11.9214,109.1591,23.98,88,20,1.03,VN,1676223538
287,diamantino,-14.4086,-56.4461,30.57,64,92,0.26,BR,1676223538
288,namibe,-15.1961,12.1522,23.18,74,18,6.64,AO,1676223538
289,kieta,-6.2167,155.6333,26.13,84,100,2.8,PG,1676223539
290,khorramabad,33.4878,48.3558,5.79,93,100,0.0,IR,1676223539
291,fortuna,40.5982,-124.1573,7.19,100,100,0.0,US,1676223310
292,kahului,20.8947,-156.47,22.13,86,75,4.12,US,1676223540
293,kultuk,51.7208,103.6956,-15.95,90,7,2.43,RU,1676223540
294,port keats,-14.25,129.55,24.21,92,100,2.92,AU,1676223540
295,tromso,69.6496,18.957,4.01,60,75,18.52,NO,1676223541
296,lom sak,16.7798,101.2422,24.77,47,73,0.48,TH,1676223541
297,ostrovnoy,68.0531,39.5131,-4.79,88,100,10.61,RU,1676223542
298,blackwater,-23.5833,148.8833,25.26,60,30,3.47,AU,1676223542
299,bengkulu,-3.8004,102.2655,23.86,83,91,2.32,ID,1676223543
300,qinnan,33.2531,119.9133,5.27,93,100,6.28,CN,1676223543
301,pringsewu,-5.3582,104.9744,22.09,94,100,0.74,ID,1676223544
302,flinders,-34.5833,150.8552,19.54,91,100,1.79,AU,1676223545
303,vanimo,-2.6741,141.3028,25.11,91,100,3.3,PG,1676223545
304,eppingen,49.1369,8.9103,8.34,92,26,2.95,DE,1676223545
305,buy,58.4786,41.53,-18.73,100,69,1.69,RU,1676223546
306,luba,3.4568,8.5547,30.94,78,57,4.06,GQ,1676223546
307,brainerd,46.358,-94.2008,2.16,75,0,0.0,US,1676223547
308,walvis bay,-22.9575,14.5053,23.53,60,16,7.72,NA,1676223547
309,havelock,34.8791,-76.9013,18.0,86,75,4.12,US,1676223512
310,istok,42.7808,20.4875,1.33,84,77,1.96,XK,1676223548
311,aurangabad,19.8833,75.3333,21.63,26,1,3.3,IN,1676223548
312,kysyl-syr,63.8986,122.7617,-38.94,100,82,1.75,RU,1676223548
313,sao joao da barra,-21.6403,-41.0511,31.05,83,94,5.63,BR,1676223549
314,chimbarongo,-34.7,-71.05,26.49,16,0,2.78,CL,1676223549
315,whitehorse,60.7161,-135.0538,-4.57,93,75,5.14,CA,1676223549
316,port augusta,-32.5,137.7667,17.71,59,100,4.79,AU,1676223550
317,kalispell,48.1958,-114.3129,-0.13,81,100,0.0,US,1676223305
318,muros,42.7762,-9.0603,14.82,63,81,0.35,ES,1676223550
319,ambulu,-8.345,113.6058,23.93,94,99,3.99,ID,1676223551
320,karaman,37.0833,33.25,-11.14,95,7,1.37,TR,1676223551
321,bundaberg,-24.85,152.35,26.79,91,2,1.79,AU,1676223551
322,tutoia,-2.7619,-42.2744,29.02,65,51,5.34,BR,1676223552
323,haines junction,60.7522,-137.5108,-12.03,85,98,1.03,CA,1676223552
324,tateyama,34.9833,139.8667,13.96,94,75,6.69,JP,1676223553
325,codrington,-38.2667,141.9667,14.22,62,99,4.48,AU,1676223553
326,andenes,69.3143,16.1194,3.99,65,75,15.95,NO,1676223553
327,moree,-29.4667,149.85,20.77,35,0,3.18,AU,1676223554
328,aginskoye,51.1,114.53,-13.67,79,4,7.54,RU,1676223554
329,inongo,-1.95,18.2667,26.39,73,96,5.23,CD,1676223554
330,taldan,53.6667,124.8,-22.31,99,84,1.3,RU,1676223555
331,makokou,0.5738,12.8642,27.81,55,64,1.85,GA,1676223555
332,lancaster,40.2504,-76.2499,6.69,57,0,0.45,US,1676223350
333,lanigan,51.8501,-105.0344,-4.06,89,6,5.49,CA,1676223556
334,mayo,38.8876,-76.5119,6.73,85,100,3.09,US,1676223556
335,kasempa,-13.4584,25.8338,20.16,82,98,0.52,ZM,1676223556
336,vila,42.0304,-8.1588,9.49,69,83,1.82,PT,1676223399
337,catamayo,-3.9833,-79.35,27.14,42,75,6.17,EC,1676223557
338,san cristobal,7.7669,-72.225,24.1,49,79,2.8,VE,1676223316
339,nouakchott,18.0858,-15.9785,25.96,52,100,6.55,MR,1676223428
340,coihaique,-45.5752,-72.0662,14.34,38,40,4.63,CL,1676223558
341,parintins,-2.6283,-56.7358,29.83,66,69,2.01,BR,1676223558
342,riberalta,-10.9833,-66.1,29.11,70,75,3.09,BO,1676223559
343,bowen,-20.0167,148.2333,25.73,74,66,3.3,AU,1676223559
344,fare,-16.7,-151.0167,27.44,75,92,5.05,PF,1676223560
345,blagoveshchensk,50.2667,127.5333,-18.66,71,0,2.0,RU,1676223405
346,kisanga,-7.4362,37.7034,25.43,75,54,3.28,TZ,1676223560
347,mwense,-10.3845,28.698,19.47,88,100,1.16,ZM,1676223561
348,nehe,48.4833,124.8333,-23.14,95,39,1.17,CN,1676223561
349,anadyr,64.75,177.4833,-31.72,75,20,5.0,RU,1676223561
350,itoman,26.1247,127.6694,22.01,88,20,7.72,JP,1676223562
351,neyshabur,36.2133,58.7958,1.61,97,100,1.31,IR,1676223562
352,jardim,-21.4803,-56.1381,26.02,73,65,2.89,BR,1676223562
353,santa isabel do rio negro,-0.4139,-65.0192,29.5,76,59,0.69,BR,1676223563
354,clyde river,70.4692,-68.5914,-34.87,68,0,2.06,CA,1676223563
355,dogondoutchi,13.6393,4.0287,29.27,11,0,4.54,NE,1676223563
356,nago,26.5881,127.9761,21.24,83,55,5.02,JP,1676223564
357,petauke,-14.2426,31.3253,18.7,99,100,1.77,ZM,1676223565
358,tabou,4.423,-7.3528,28.42,76,15,3.55,CI,1676223565
359,paita,-5.0892,-81.1144,27.93,61,57,4.54,PE,1676223565
360,ust-ilimsk,58.0006,102.6619,-21.35,99,55,2.08,RU,1676223488
361,youkounkoun,12.5333,-13.1333,39.0,13,54,2.35,GN,1676223566
362,yulara,-25.2406,130.9889,30.77,21,72,7.74,AU,1676223566
363,dunedin,-45.8742,170.5036,14.33,78,47,1.34,NZ,1676223567
